Reviews;Rates
aldigim en guzel telefon fiyati kalitesi harika;1
Aldigim gunun ertesi gunu elime ulasti mukemmel kalite tesekkurler;0
aldigim telefon klonlanmis cikti cok kotu bir durum trendyol a sikayette bulundum ama halen sonuc yok;0
aldigim urun  kacak cikti 7 ay sonra imei kaydi yaptirin uyarisi aliyorum;0
Aldigim urun kutudan bozuk cikmasina ragmen Apple’ in urunun kusurlu oldugunu onaylamasina ragmen satici iadeyi kabul etmedi…;0
Aldigim urunde bir ay sonra ekranda sorun oldutelefon servistebu kadar para verdigim urunden malesef sogudum;0
aldigim urunun imei kodu yok yurt disi kayitli telefon kapandi iiilgilenen yok rezillil;0
aldigimdan beri sorunlu;0
aldigimiz telefon imei kopyalanmis cikti gunlerdir muhatap bulamiyoruz boyle is mi olur satici irtibati saglanmiyor cok buyuk risk alirken cok iyi dusunun bin pisman oldum gunlerdir magduruz telefonsuz bir sekilde bekliyoruz;1
aldigimiz telefonun imei yi kopyalanmis neden boyle acil haber bekliyorum tesekkurler;1
aldik kullaniyoruz yorumumu 3 ay sonra yapiyorumherhangi bir sorun olmsdi ve cok kisa surede elimize ulasti;1
aldiktan bir ay sonra seste bi bozukluk oldu konusurken hoparlorden kendi sesimi bir garip duyuyordum ama suan gecti sikinti yok sesi biraz kisik geldi onun disinda gayet guzel;1
aldim cok memnunum sorunsuz kargo hizli geldi ;1
aldima pisman oldum sarzï cok fena hizli bitiyor;0
alinabilecek en guzel telefondu;1
Alinan urun saglam ciktiginda tum saticilar iyidir Onemli olan bozuk urun oldugunda saticinin ne tepki verdigidir Kraft DTM bu konuda rezil bir firma Aldigim urun bozuk cikti iade kabul edilmedi Tuketici haklarina gore kosulsuz sartsiz kabul etmeleri gereken urunu telefonun ust jilatinini cikarip alelade bir sekilde tekrar geri gonderdiler Artik vazgecip servise gonderdigim telefonu servis de acamadi ve yeni telefon gonderdiler Tabi bu arada Trendyol da  Kraft DTM ile ayni sekilde tepki verdi tuketicinin degil saticinin yaninda oldugunu cok guzel bir sekilde gosterdi Bu kadar yildir yaptigim alisveriste ilk defa boyle bir durumla karsilastim Elektronikte gozum kapali alisveris yaptigim bir siteydi Guvenimi sarsti;0
Alirken aksesuarli mi diye yani kulaklik ve sarj aleti var mi diye acikca sorduk Siz de bize evet aksesuar mevcut diye cevap verdiniz Gelen urunde sizin soylediklerinizin YALAN oldugu ortaya cikti Siz bize aksesuarsiz kutu gonderdiniz Ayrica fatura da gondermediniz Bakalim bu hatali satisinizin sorumlulugunu alacak misiniz? Kutu acilisini video cekerek yaptigim icin su anda %100 hatali olan sizsiniz;0
alirken cok dusunmustum ama iyiki almisim aldigimdan beri hic sikayetim olmadi paketi de cok guzel geldi;0
Alirken suphelerim vardi fiyattan dolayi Ama kullandikca iyi ki diyorum ;0
Almadan once cok tereddut ettim iyi ki almisim hizli kargo orijinal urun tesekkurler;0
almak isteyen herkese tavsiye ediyorum gorundugu gibiydi cok guzel bir telefon;1
almakla en iyisini yapmisim;1
almamin uzerinden 1 yil gecti yaklasik 1-2 kez ac kapa yapmak zorunda kaldim o kadar fotograflari o kadar iyi cekmiyor kesinlikle hizli bir telefon bana da bu lazim parmak okumanin telefonun arkasinda olmasi kullanisli degil ama bunu yeni modellerde duzeltmisler;1
Almayi dusunen her alici bir kez daha dusunsun lutfen asla guvenilir bir firma degil Gonderdikleri urunun ses acma kapama tuslari calismadi ertesi gunu farkettik yetkili servisten rapor alarak iade olusturduk satici raporda iade edilebilir ibaresi olmali diyerek iadeyi reddetti uc ayri yetkili servisten aldigimiz bilgi Apple in iade ve degisimlerde kullandigi matbu rapor oldugu boyle bir ibareye gerek olmadigi ve yazamayacaklari bilgisini vermelerine karsi satici hala sanki ayni seyi tekrar edip durdular Sonuc dunya kadar para verdik bozuk geldi iade edemiyoruz kullanamiyoruz Apple la direk garanti kullanabilmek icin 14 gunu doldurmak gerekiyor her acidan husran;0
almayin ! imei numarasi klonlu cikti;0
Almayin derim;0
almayin ici bos geldi;0
almayin imai numarasi fost cikti ;0
Ambalajlama cok iyi degil boyle pahali bir cihazin daha iyi ambalajlanmasi gerekir diye dusunuyorum Umarim bundan sonrakiler daha iyi bir sekilde ambalajlanir;0
amiral telefonlara kafa tutar basarili bir cihaz;1
an itibariyle hem prosu hem de bu en iyi fiyat/performans telefonlaribu fiyat dolaylarinda daha iyisi yok;1
ananneme diye aldim bende kullaniyorum artik;1
android'i garip bir sekilde ozellestirmisler hic begenmedim ornegin sadece iki tane masaustu var ve tum programlar ortada halbuki samsung android'de boyle degil bir telefon numarasini rehbere eklemek bile pratik degil android'in bu kadar berbat ozellestirildigi baska telefon gormedim;0
anlatildigi gibi  zamaninda uygun fiyatla almistim paketleme guzeldi kargo normal seyrinde;1
Anlatildigi kadar varmis ( anlatilmaz ) yasanir;0
anlatmaya gerek yok;1
Anlatmaya gerek yok goruyorsunuz;0
anlatmaya gerek yok goruyorsunuz ;1
annem icin aldik gayet guzel bi telefon is goruyor;1
annem icin aldik urun kisa surede elimize ulasti faturasiyla birlikte fiyati trendyolda cok uygun ve guvenilir oldugu icin bu siteyi tercih ettik su an daha uygun fiyati alacaklara tavsiye ediyorum;1
annem icin aldim cok begendi;1
annem icin almistik ama cok begendigim icin kendime alicam tavsiye ederim guzel bir telefon paketlemede oldukca basarili;1
annem icin almistim :) ben note7 kullaniyorum saglam ve hizli oldugu icin aldik bence dusunmeden alin;1
annem icin almistim cok begendi ve gayet guzel hos;1
annem ve babama aldik  anneme aldigimizda sensor sikintisi cikti hemen iadeye verdik trendyola gonderdigimizde teknik servise vermemiz icin bize tekrar gonderdiler simdi teknik serviste ben begenmedim bir kadin icin cok buyuk ve agir bir telefon almayin;0
annem ve babama aldik bu rengini anneme almistiksensor sikintisi cikti hemen iadeye verdik trendyola gonderdigimizde teknik servise vermemiz icin bize tekrar gonderdiler simdi teknik serviste ben begenmedim bir kadin icin cok buyuk ve agir bir telefon almayin;0
anneme aldim cok memnun fiyatina gore harika bir urun  kesinlikle tavsiye ediyorum ama kulaklik yok kutuda bilginiz olsun;1
anneme aldim cok memnunuz rengi de degisiyor cok hos;1
anneme aldim fazlasiyla yetiyor guzel telefon;1
anneme aldim sorunsuz bir urun;1
anneme almistik guzel bir sekilde kullaniyor oldukca memnun;1
anneme almistim cok memnun kaldik kendime de aldim;1
anneme almistim cok severek kullaniyor sarji iyi gidiyor;1
anneme almistim hizli gonderi guzel urun memnun kaldik indirimdeyken almistim ;1
anneme almistim iki ay oldu cok memnun hicbir sorun yasamadi gonul rahatligiyla alinabilecek bi urun fiyatinin hakkini kesinlikle veriyor;1
anneme anneler gunu hediyesi aldim gayet guzel;1
anneme anneler gunu hediyesi olarak aldim kargo hemen elime ulasti telefon gayet guzel;1
anneme hediye aldim agir bir telefon ara ara kilitlenmesi disinda bir problem yok;0
anneme hediye olarak aldim sarji uzun sure gidiyor kamerasi cok guzel kibar tasarimi var cok kullanisli ve kaliteli bir telefon fiyat olarak uygun kacmaz;1
Apple bu donanim isini yapamiyor yazilim tamam ama donanim konusunda samsung'un cok gerinde;0
Apple candir;0
Apple destek dahil ne yaptiysam cozulmeyen bildirim sorunu var Bu islerden anlarim her yolu denedim ama yok Aileden baskasina verdim Android ile devam;0
Apple fazla soze gerek yok;0
APPLE KULLANICILARI ICIN IDEAL;0
arada bir donma oluyor fotograf tam  net cekmiyor;1
aradigim hersey var begenerek ve yorumlara guvenerek aldim;1
aranan kan bulundu ;1
arastirip cok iyi buldugum telefon oneriler sayesinde almistim aldigimda daha uygundu fiyati;1
Arka cam icinde fabirkasyon hata ile geldi degisim icin ugrasiyorum magdurum;0
arka kamerasi cok kotu ozellikle yuz bolgesini cok tuhaf cikariyor manzarada da iddia edildigi gibi iyi degil kamerayi onemseyenlere hic tavsiye etmem paraniz cop olur onun disindaki ozellikleri iyi sarji iyi dayaniyor hizi da guzel;0
arkadasima aldim bi fiyat performans canavari olmasada gayet memnun;1
arkadaslar cok pismanim surekli sebeke kesiliyor sakin ama sakin almayin  ;0
Arkadaslar faturayi istedim 1 ay gecti hala gondermediler o yuzden 1 yildiz;0
arkadaslar kaliteli bir telefon gonul rahatligiyla alabilirsiniz;1
arkadaslar saticiyi kesinlikle tavsiye etmiyorum hatta yorumu okuduktan sonra cikin bu saticidan telefonu 0 diye aldik islem gormus telefon gondermisler iade etmek istedik 23 kasimda tam 1 ay oldu iade hâlâ inceleniyo diyodu adami defalarca aradim her seferinde bugun yarin diyerek beni gecistirdi 24 kasimda yapti normal suresinide asti iade ben magdur oldum siz olmayin;0
arkadaslar satin alirken sunu bilerek alin garanti  firmasi ritzy ben ustume duseni yaptim urun kaliteli guzel urun ama garanti firmasindan dolayi iade edecegim;0
asiri hasas bir ekrani var cok cabuk bozuldu aldiktan uc ay sonra tamire gonderdim;0
asiri hizli teslim aldik cok tesekkurler;1
Asiri hizli teslimat ve kesinlikle orijinal urun Urunu acmadan seri numarasi sorgulayabilirsiniz siz de herhangi bir sorun yok Ozellikle bu fiyata aksesuarli kutu bulmak gercekten zor cok tesekkur ederim 🤗;0
asla almayin;0
avantajlar : iyidezavantajlar : yokiyi;0
ayni urunden iki adet aldim yani begendim tevsiye ederim;1
ayni urunu daha once de yine buradan  kizima almistim herseyiyle memnun kaldigimiz bir urun oldugu icin bu seferde anneme aldimfiyata gore gayet iyi  performansi olan bir telefon;1
aynisindan abim kullaniyordu memnundu ben de aldim ve cok begendim;1
babam dogum gunumde aldi eski telefonumla pubg gibi yeni oyunlari oynayamiyordum simdi ise hem oynaniyor hem de cok hizli performansi var tetikleme hizina kadar her sey yenilendi sanki okuldan gelir gelmez oynamama ragmen sarji bitmiyor butun gun yetiyor on kamerasi da iyi ozellikle goruntulu konusmalar karsi tarafa cok net ve akici gidiyor;1
babam icin aldik birkac gun oldu alali guzel ve cok kullanisli duruyor tasarimi durusu cok guzel kargo da guzel hizli ve hasarsizdi tesekkurler;1
babam icin aldim gayet hizli ve uygun fiyat;1
babam kullaniyor cok memnun;1
babama aldik cok tesekkur ederimm cok guzeldi;1
babama aldim fiyatina gore mukemmel bir telefon  kargo hizli geldi;1
babama aldim kesinlikle tavsiye ederim her zamanki gibi trendyol farki anlatmaya gerek yok;1
Bana Bozuk telefon yolladilar iade yolladim geri gonderdiler sakin bisey almayin burdan insanlari kandiriyorlar yazdiginda cevap bile vermiyorlar Insanlari madur ediyorlar gercekten ayip cok ayip;0
bana distributor garantili gibi gelmedi kutusu bile kalitesizdi acmadan iade ettim;0
Bana ulasmadan garantisi otomatik baslamis sacmaliga bak! Cok gec geldi ve karton kutuya koyup gondermisler asla korunakli bir sey yoktu FATURAYI BIR ZAHMET KOYSAYDINIZ BARI SORUMSUZ FIRMASINIZ;0
Basarili ;0
basarili bir urun tavsiye ederim hizli teslimat;1
basarili hizli kargolama;1
basarili ve guzel;1
basarli yeni aldim simdilik menmunum;1
baska yerde bu fiyata bulamazsiniz fiyat performans olarak iyi fakat soyle sorunlari var wifi baglantisi gelip gidiyor ve mobil veri de sorunlu internet sikintisi yasiyorum alali 2 hafta oldu kesiliyor surekli onun disinda kutudan cikan kilifi begendim seffaf bir kilif cikti gayet koruyucu bir ekran koruyucusu da taktirirsak tam olacak kamerasina bayildim 48 mp ve portre modlari baya guzel cekiyor ve agir cekim modu da var kamera acisindan bir sikinti yok 64 gb olmasi da telefonu kullanisli kilan ozelliklerden genel olarak bu fiyata begendim diyebiliriz bu fiyata iyi bir telefon ama daha fazlasini beklerdim bu telefondan saticiya da tesekkur ediyorum ilgilendikleri icin kargo da gayet saglam ve hizli geldi tesekkurler;1
baskasina alindi ama sorusturmamiza gore fiyatin ustunde ozelliklere sahipmis;1
baslarda iyidi memnundum ancak bir sure sonra telefonla konusma yaparken farkli yerlere menulere girmeye basladi cok sinir bozucu;0
basta tereddut icindeydim daha once hep samsung cep tel kullandim gayet guzel sik sorunsuz bir makina satici ozenle paketlenmis zamaninda ulasti emegi gecen herkeze tskr  ayrica saticinin kucuk hediyesi icin tskr kendisine hayirli isler bol kazanclar dilerim;1
batarya performansi efsane fiyatida cezbedici daha ne olsun valla cook begendim belki on kamerasi bi tik daha iyi olabilirmis ben pek kullanmiyorum ama inceleme videolarina bakip tatmin ediyosa alabilirsiniz ben tavsiye ediyorum dedikleri gibi fiyat performans cihaziiii;1
baya arastirdim bu urunde karar kildim iyikide buradan almisim uygun fiyat ve kaliteli garantili orjinal urun cok begendim yalniz keske ekran koruyucuda beraberinde gelseydi kucuk hediyeniz icinde ayrica tesekkurler almak isteyenler tereddut etmeden alabilir;1
baya iyi begendim tavsiye ederim;1
baya iyii;1
bayildim  cok mukkemmel bir telefon ;1
bayildim cok guzel paketlenmis bir yerinde sorun yoktu sapasaglam elime bulasti;1
bayildim saglam ve garantisi var;0
bazen donuyor ve dokunmatigi islemiyor;0
Bazen Sesli modda iken ses calmiyor sessiz modda iken ses caliyor Alir almaz garantiye gondermek zorunda kalacagim;0
bazilarina yanlis bir algi olusturmasin ancak bundan once iphone 6 kullandim  bu telefon iphone hic aratmiyorr aksine daha kullanisli ve ozellik bakimindan daha iyi bu telefon anlatilmaz yasanir diyorum ayrica saticiya tesekkur ederim zamaninda teslimat icin;1
begendim cok guzel;1
begendim guzel ;1
begendim guzel magazada ilgili;1
begendim telefonu cok temiz ve hizli tesekkurler@trendyol;1
begeniyi hak ediyorlar;1
begenmedim urunu;0
bekledigim gibi degil ama idare eder;0
bekledigim gibi geldi cok tesekkur ediyorum;1
bekledigim gibi geldi memnun kaldim;1
bekledigim gibi guzel geldi tesekkurler;1
bekledigimden daha guzel;1
bekledigimden daha guzel cikti;1
bekledigimden daha hizli geldi goruntu kalite cok iyi fatura bilgisi gonderirseniz sevinirim ayrica garanti belgesi kase goremedim;1
bekledigimden daha hizli geldi tesekkurler;1
bekledigimden daha iyi bir telefon alacak kisilere tavsiye ederim imei kayitli sarj suresi uzun  parasinin hakkini veren bir telefon satici guvenilir hizli kargo;1
bekledigimden daha iyi cikti;1
bekledigimden de iyi zaten herkez oneriyordu aldim pisman degilim;1
bekledigimden guzel bir urun zamaninda teslim edildi tesekkurler;1
bekledigimden guzel telefon ertesi gun teslim edildi tesekkur ederim;1
bekledigime degdi tam gorundugu gibi hizli kargo ve paketleme mukemmel alisveriste tek adresimsin trendyol tesekkurler;1
bekledigimizden daha iyi cikti ve cok guzel paketlenmis ayrica kilif hediyesi icinde tesekkur ederim;1
bekledigimizden de iyi;1
bekledigimizden hizli geldi paketlemesi guzeldi;1
beklendigini gibi;1
Beklenin altinda bir kalitede tedirgin oldum cakmami acaba diye;0
beklentilere karsi lik veriyor;1
beklentileri cok rahat karsilayan bir telefon;1
beklentimi karsiladi;1
beklentimizi karsiladi gorunum bakimindan da hos bir telefon olmus;1
beklentiyi karsiliyor;1
belgeleri bana nasil ulastirabilirsiniz haberinizi bekliyorum fatura ve kimlik fotokopileri mevcut bende;1
ben abime almistim ve bayadir kullaniyor sikintisiz ve isletim sistemi baya yeterli;1
ben aldigimda indirimdeydi muhtesem bir telefon amcam babam kardesim kuzenim ve ben aldik cok memnunuz;1
ben aldim bu telefonu 1 hafta sonra kapanacaktir diye sms geldi imei kopyalanmisti iade etmek icin 1 ay ugrastim hic memnum kalmadim almanizi tavsiye etmiyorum;0
ben begendim ancak nedense kullanimdan 3-4 ay sonra asiri isiniyor sogumasi icin her 1 saatte buzdolabina koyup cikariyorum;0
ben begendim gayet guzel kargosu da hizliydi;1
ben bittibitiyor saticisindan aldim kargolama surec her sey cok guzeldi sadece kutuda minik bir ezik vardi ellerinize saglik cok tesekkurler;0
ben boyle dandik bir kamera gormedim 4 adet kamera koymuslar ama ekranda siyah dalgalanmalari oluyor verdigim paraya bin pisman oldum;0
