Reviews,Rates
urun sim karti gormedigi ve wifi butonu aktif olmadigi icin iade etmek istedim fakat elektronik cihazlar paket acildigi icin iadesi ancak teknik servis raporu ile mumkunmus bu cihazi gondermek istedigim yetkili servisler imei numarasini sordular sistemlerinden kontrolettiler cihazin kendi firmalarinin sistemine kayitli olmagini ve cihaza mudahale edemeyeceklerini soylediler trend yola geri dondum durumu anlattim ama musteri iliskilerine bakan bayan lar ki 3  kisiyle falan gorustum illa da teknik servis raporu olmadan geri alamayacaklarini belirttiler kendilerine teknik servisin bu cihaza bakmayacagini sistemlerinde kayitli olmadigini bir turlu anlatamadim galiba 4 denemem de bir bey cikti karsima kendisine durumu anlattim bana saticiyla irtibat kurmayi durumu saticiyla cozmemizi onerdi oysa ben satisiyla ilgili ne trend yolda ne de internette hic bir bilgiye ulasamadim bu cagda firmanin internette bir sayfasi bir iletisim bilgisi yok zaten firmanin ne kadar seffaf ve guvenilir oldugu burdan bile belli oluyor bende kendisine cevremde bir suru telefon satan dukkan ve isletme var ben bilmiyormuyum rast gele bir yerden telefon almayi benim muhatabim satici degil  ben basim agridiginda muhatap olacagim birisi olsun diye  telefonu trend yoldan aldim  bu sorunu ben degil trend yolun cozmesi gerekir dedim sagolsun o arkadas durumu anladi ve iade prosedurunu baslatti telefonu kargoya verdim bakalim ne olacak,1
telefondan yana bir sorun yok zaten kullandigimiz bir telefon oldugu icin gonul rahatligi ile satin aldik satis sonrasinin saticinin destegi muthis sirf satici icin bile alinabilir 10-20 lira fazla olsun burdan olsun,1
imei sorgulattim kayitli sikinti yok telefon cok guzel kardesime aldim simdilik bir sikintisi yok guvenilir alinabilir,1
1 gunde elime ulasti kaliteli bir hizmetti tesekkurler,1
gayet kaliteli fiyat performans urunu,1
urun guzel fakat umit teknoloji sagolsun cook ilgisizz telefon heryeri cizik dolu harita gibi birde urun kargoya verilmeden hemen kargoda yazisi cikiyor yani bu umit teknolojiyle alis veris yapilmaz hep yalan dolan,0
urun turkiye garantili degil ithalatci garantili bilginiz olsun,0
bildigim bir urundu piyasinin altinda bir  degeri vardicok memnunum,1
kargo iade numarasini nasil alabiliriz,0
urun turkiye garantili deyil insanlari kandir mayin iade ettim,0
gayet guzel ve kaliteli harika,1
sarj aleti bozuklugu cikti saatte %5 anca dolduruyor geri donus yapin lutfen,0
fiyatina gore mukemmel bir telefon saticiya cok tesekkur ederim kargo cok hizli ve saglamdi,1
urun sapa saglam elime ulasti tesekkur ederim urun guzel arkadaslar bir sorunu yok,1
urun sahte kutu kutu ile geldi hemen geri iade ettim muhtemelen ikinci el veya kacak urune imei atilmis jelatini cok dandik ve sonradan yapildigi belliydi,0
evet guvenilir hizli 1 gunde geldi genpa garantili geldi,1
urun guzel hizli kargo garantili urun tavsiye ederim,1
urun guzel kargo hizli daha ne olsun,1
kesinlikle evet,1
tam flyat performans urunu,1
cihazda kronik sorun olabiliyor   benim aldigim cihazda yakinlik sensoru bozuk iade suresini kacirdik  telefonla konusurken mikrofonu kapatabiliyor  gorusmeyi beklemeye alabiliyor   yogun gorusme yapiyorsaniz cok ciddi bir sorun cihazin icerisindeki donanim testi yaparkende fail veriyor kalibre etmiyor yazilim guncellemesi ile cozulmedi redmi nin yazilim guncellemesi ile cozulebilir  umarim cozerler bir sure daha bekleyecegim  cozulmezse tuketici hakem heyetine basvuracagim,0
belgeleri bana nasil ulastirabilirsiniz haberinizi bekliyorum fatura ve kimlik fotokopileri mevcut bende,1
teslimat hizli,0
iyi urun uygun fiyat 1 yili askin zaman sonra guncelliyorum telefon bozuldu,1
bildirimler gelmiyor  cok isiniyor,1
bu fiyata alinabilecek daha iyi bi telefon yok tereddut edenler hic dusunmesin alsin ben aldiktan sonra gorupte 4 kisi daha aldi paketleme mukemmeldi ustune biset dusse dahi zarar gorme imkani yok cunku havali balonlu paketlenmisti 11 kasim 2019 da aldim suan halada sorunsuz sekilde kullaniyorum,1
baslarda iyidi memnundum ancak bir sure sonra telefonla konusma yaparken farkli yerlere menulere girmeye basladi cok sinir bozucu,0
uzun suredir kullaniyorum bir sorun olusmadi,1
guzel ve kullanisli,1
gayet guzel bir telefon aylardir severek kullaniyorum,1
sikintisiz aldik ambalajlama gayet iyidi tesekkurler cihaz kalitesine gelirsek kasma donma vs yok sarji uzunca gidiyor ( guncelleme  adana’da caldirdim  cok uzgunum seni cok ozledim canim telefonum :(,1
sarji cabuk bitmese memnunum,1
urunu dun siparis verdim bu sabah geldi kargoya ve kuryeye cok tesekkur ederim,1
yaziklar olsun imei nosu klonlu telefon yollamislar 3 ay sonra telefon kapandi muhatap bulamiyoruz kesinlikle almayin bu saticidan,0
cok dandik tlf surekli baglanti kopuyor sakin almayin bu markadan uzak durun samsung yada iphone alin pisman oldum ben  kazik yedim   sakin xiamo almayin,0
fiyat performans urunu guzel bir telefon,1
siyah redmi note 8 64 gb 8 ram siparisim yerine gelen telefon mavi renkli 4 gb ram li note 8 hediye almistim ve direk arkadasima kargo gittigi icin fark edilmedi yaziklar olsun,0
tesekkur ederim guvenli satici ,1
bekledigim gibi guzel geldi tesekkurler,1
xiaomi red note 8 telefonun bozuldu mersin'de servisiniz var mi,1
cok memnun kaldik fotograf kaliteside cok guzel,1
urunu alali 15 yil olmuyor garantiye gonderdim hayalet ekran dediler yaptilar aradan 5 ay gecti yeniden ayni hatayi veriyor,0
paketleme gayet iyiydi iki gun icinde telefon elime gecti tesekkurler,1
hediye almistik cok begendik,1
telefon harika sarj bitmiyor bitmiyor  sesi goruntusu herseyiyle mukemmel bir telefon,1
sorunlu urunu 2 kete servise sokup duzmece raporla bana gonderiyorsunuz urunun kusurlu oldugunu kanitlayacagim ve mahkeme acacagim ondan sonra kendiniz kullanirsiniz!! !!!!!,0
urunu begendim ve kullanisli ama sarjz aletinde hizli sarjz yok o yuzden 3 yildiz verdim,0
urunun icinden aciklamada belirtilen gereclerden sadece usb ve adaptor cikti kilif sim kart cikarma aparati yoktu ayrica garanti belgesi ve kullanim kilavuzu bile yok soru soruyorum reddediyorsunuz bu nasil bir satis anlayisi !!!,0
dorduncu telefon alisimiz paketleme kargo hizi muhtesem,1
guzel ve kaliteli magaza hizli,1
hediye olarak siparis vermistim  sorunsuz alisveris yaptim tesekkurler,1
hem kalite hem fiyat cok iyi,1
kardesime aldik severek kullaniyor suan bir kasilma bir problem yok,1
kaliteli urun hizli teslimat ve ozenli bir bicimde paketlendigi icin tesekkurler,1
urunun kutusu daha once acilmis ve yeniden paketlenmisti telefonun kendisi jelatinsizdi ayrica kutuda hangi teknik servis firmasindan hizmet alinacagina dair bir belge cikmadi kutuda yazan imei numarasi ile telefonun kendi imei numarasi farkliydi kutudaki imei numarasi genpa garantili gorunurken asil imei ile hicbir serviste kayit bulunamadi distributor garantili oldugunu soylenen ilanda gelen cihaz bu sekilde cikti bunun sonucunda iade edildi xiaomi turkiye sitesinde genpa ouno ve evofone harici servisler ithalatci garantili cihazlar olarak belirtilmis siparislerinizde bu bilgiyi goz onunde bulundurun ayrica teslim aldiktan sonra imei numaralarini kontrol edip hangi teknik servis firmasi destek veriyorsa oradan garantisini sorgulatin,1
sarj aleti bozuk geldi bir turlu iletisime gecemedim trendyol asistan dan iki kere yazdik ama sonuc cikmadi,0
cok iyi ve guvenilir satici herseyiyle sapasaglam turkiye garantili sekilde gonderildi cok arastrdm ve yorumlara bakarak virtual markt den almaya karar verdm iyiki de almisim cunku piyasada cok fazla turkiye garantili diyip ama oyle yollamayan vartesekkurler virtual markt,1
gayet guzel paketli etrafi da kopuk posetle sarili halde geldi satici gayet ozenli,1
faturami neden gondermiyonusunuz nedenini ogrene bilirmiyim ?,0
urun xiaominin global versiyonu degil yani urun kacak yollarla getirilmis bu da kanunen bir suctur bu magazadan asla bu urunu almayin,0
gercek kvk garantili bir cihaz gayet guzel,1
benim ismim emre istanbul'da yasiyorum rize ve mehmet avcilar ne alaka ustelik istedigim renkte gelmedi nasil is yapiyorsunuz? kargo adresi ile fatura adresi nasil karistirilir iade olusturmamak icin mi yapiyorsunuz?,0
tam gorselde ki gibi kuskusuz alabilirsiniz tesekkurler,1
uygun fiyat kalite super,1
sikinti yasamadim hersey gorundugu gibi,1
cok begendim guzel telefon,1
gayet guzel aldim sorunsuz kullaniyorum,1
urunun imei bilgisini sorguladigimizda global surum olmadigini gosteriyorduayni sekilde genpa kvk gibi servislerde sorgulattigimda kaydi yoktutelefon ambalajini acmadan mutlaka imei kodu sorgulanmalisatici ne kadar guvenilir tartisilir,0
annem icin aldik gayet guzel bi telefon is goruyor,1
urun fiyati performansina gore cok uygun esime ve arkadasima aldik cok memnun kaldilar elimize 2 gunde ulasti paketleme de cok saglamdi,1
2 gunde ulasti fiyat performans iyi,1
cok guzel telefon su an kullaniyorum korkarak aldim biraz ama beklentimin ustunde geldi garanti belgesi ve faturasi da vardi,1
1 gunde ulasti telefon paketleme iyiydi teslimatta sikinti yasamadim icerisinde faturasi da vardi paketin icerisinde bulunanlar gorseldekiler e devletten imei sorgulamasi yaptim 1 imei icin kayit bulamadi digeri icin buldu turkiye garantili diyor ama garanti klavuzunun icerisinde ithalatci firma ismi yaziyor kafam karisti ama kullancam bir sikinti yasamam umarim,1
urun sorunsuz bir sekilde elime ulasti ve gayet memnunum,1
saticiyla ilgili degil direkt xiaomiyle ilgili sorunum var guncellemeler yuzunden whatsapp'a girilmeme kasma donma gibi sorunlar oluyor bu tarz seyler arastirilmadan alinmamali bence kamerasi kotu degil ama muthis de degil,1
kapama cihaz yurtdisi gonderiyorlar kvk adres kartini koymuslar,0
sorunsuz gorunuyor umarim sonra bir sikinti yasanmaz,1
sakin almayin babama hediye alayim dedim rezil olduk telefonda sensor arizasi var cozulmuyor anlayacaginiz cop,0
kesinlikle orta segmentte bu fiyata alinabilecek en iyisi urun tam da istedigim gibi geldi,1
kargo sorunsuz ve normal hizda geldi sarji cok cabuk bitiyor onun disinda sorun yok,1
harika hic bir sorunu yok tesekurler,1
tesekkur ederim hizli ve ozenli kargo,1
iyi paketlenmis ve cok iyi telefon gozu kapali tercih edilebilir,1
urun anlatildigi gibi turkiye xiaomi garantili degildir ithalatci garantilidir saticiya ait telefon numarasi bulunmamaktadir  yalan beyan nedeniyle iade edilmistir,0
10  numara iyi ki almisim,1
urun saglam bir sekilde elimize ulasti imei sorguladik sikinti yok telefon ozellikle boyut olarak ideal orta dereceli bir telefon (kamera vs acisindan) tavsiye edilir,1
siz nasil insanlarsiniz ya baskasinin size geri gonderdigi acilmis kutuyu bana sifir diye gonderebiliyorsunuz guvenip insanlar urun aliyor sizden aldigima pisman oldum sarj adaptoru bozuk calismiyor telefon posetine degildi ekranindaki bilgilendirme kagidi/yazisi yoktu sarj kablosundaki plastik acilmis herhalde boyle uretilmemistir,0
sifir telefonun bu sekilde nasil jelatinleniyor ilk defa boyle birseyle karsilasiyorum,0
urunun hicbir sorunu yok kargo iyi ve hizliydi kvk garantisi ile geldi,1
telefon guzel babam icin aldim icinden kulaklik cikmiyormus ama seffaf kilif cikti paketleme guzeldi kargo zamaninda geldi tesekkurler,1
urun ile ilgili herhangi bir sorun gorunmuyor suanlik tesekkurler guvenilir bir firma,1
babam icin aldik birkac gun oldu alali guzel ve cok kullanisli duruyor tasarimi durusu cok guzel kargo da guzel hizli ve hasarsizdi tesekkurler,1
duzenli kargo tesekkurler,1
telefon turkiye garantili degil sakin almayin 1 yildiz vermeye bile degmez,0
annem icin almistim cok begendi ve gayet guzel hos,1
genel ozellikleri iyi,1
arkadaslar saticiyi kesinlikle tavsiye etmiyorum hatta yorumu okuduktan sonra cikin bu saticidan telefonu 0 diye aldik islem gormus telefon gondermisler iade etmek istedik 23 kasimda tam 1 ay oldu iade hâlâ inceleniyo diyodu adami defalarca aradim her seferinde bugun yarin diyerek beni gecistirdi 24 kasimda yapti normal suresinide asti iade ben magdur oldum siz olmayin,0
guvenilir satici iyi telefon,1
urun elime hizli bir sekilde faturasiyla birlikte ve saglam bir sekilde elime ulastitesekkurlersatici ilgilendisorularima cevaplar verdibu telefondan ucuncu alisikkendime yegenime ve dayima aldimher seyiyle yeterli bir telefon,1
olumlu yonleri: gayet guzel ve sorunsuz calisiyor,1
olumlu yonleri: gercekten bu fiyata harika urun,1
olumlu yonleri: gittigidiyor 10 numara,1
olumlu yonleri: cok guzel  olumsuz yonleri: yok,1
olumlu yonleri: guzel telefon,1
olumlu yonleri: baya guzel,1
olumsuz yonleri: xiaomi turkiye garantili degil kvk garantili,1
persembe siparis verdik cumartesi elimize ulasti cok memnun olduk telefon hizli kamera guzel yakinlastir digimizda resimi dagitmiyor guzel urun bir sene oldu galiba severek kullaniyorum,1
cok iyi kaliteli telefonlari var ben sahsen memnunum tesekkurler,1
urun elime ulasti telefonu inceledim bir sikinti goremedim kamerasi kotu degil bence  kulaklik yok bu arada gelecek bizde den siparis verdim korgolama cok yavas,1
alali bir yili gecti hala cok memnunuz,0
yaklasik bir yildir kullaniyorum cok memnunum ,1
hic bir sikintisi yok tesekkutler,1
urunu alali 15 yiloldu olmadi kafayi yedi kendi kendisine programlara giriyor sensoru bozuldu o kdr temiz kullanmama ragmen mi store a servise vereyim dedim genpa garantili olmadigi icin almadilar ben simdi bu telefonu nereye servise verecegim?,0
anneme hediye aldim agir bir telefon ara ara kilitlenmesi disinda bir problem yok,0
anlatmaya gerek yok goruyorsunuz ,1
iyi bir telefon,0
urun arizali geldi satici bittibitiyor urunun iadesini kabul etmedi sakin alisveris yapmayin tum gerekli yerlere muracaat edecegim!,0
kusurlu urun gonderildi,0
urun cok hizli geldi sorunsuz calisiyor hatasi yok oneririm,1
gayet guzeldi urun,1
satici firma trendyolda olmamasi gerekiyor gonderilen cihaz cift sim kartli 2 imei kayitsiz  kvk garantili deniyor fakat kvk garantisi yok ve orjinal xaomi markasi satmiyor iade ettim ,0
kaliteli saglam bir telefon,1
ilgi alakaniza tesekkur 10 numara,1
6 aydir urunu kullaniyorum hala bir sorun yasamadim kesinlikle tavsiye ederim,1
orjinal ama global versiyon degil imei kayitli korunakli kargo,1
urun kargo tarafindan saglam ve zamaninda hizli teslimati yapildi sorunsuz kullaniyoruz,0
urun kaliteli ve f/p acisindan basarili,1
urun sorunsuz elime geldi fakat xoimi turkiye garantisi vaat etmesine ragmen kvk garantili geldi yapilan sey cok ayip,0
1 gunde geldi mukemmel telefonda hic bi sikinti yok,1
cok memnunum disaridaki magazalara gore fiyatidavuradan alinca cok uygunageliyormemun kalinca birtanedeesime aldik,1
turkiye kayidi olmayan urunu xiaomi turkiye garantisi altinda ( genpa) olarak satan ancak urunun imei numarasi bile cakma duzeltmeleri icin gonderdigimiz de klon imei gecirip geri yollayan firma,0
cok guzel  ve kullanisli,1
okadar guzel bir telefon ki cok begendim hem kargo hizliydi hem kvk garantili hem cok sik muthis,1
sarj konusunda sorun yasiyorum,0
telefonu alali 1 hafta oldu neredeyse simdilik memnunum kargoda cok hizliydi tesekkur ederim,1
urun guzel ama garanti servisini bulmak biraz emek istiyor garanti disbiretoru evefone mus trendyol musteri temsilcileri 5 gunde buldu,0
kaliteli bir urun resimdeki gibi geldi kargo hizli bir sekilde ulasti,1
telefon guzel fakat aldiktann bir yil sonra keske prosunu alsaymisim dusuncesi geldi,1
kargo zamaninda ve sorunsuz ulasti,1
ihtiyaclarimi karsilayacak kalitede,1
iletisim iyi kargolama hizi super iki adet redmi note8 aldim istedigim renkte geldi ambalaji acilmamis ve imei kayitliydi magazaya ilgi alaka icin tesekkur ediyorum,1
yan tusuyla ekran acilma hizi maalesef 10 saniye suruyor parmak iziyle de ayni sekilde ekran bir turlu gelmek bilmiyor degisim talebi olusturuyorum,0
kvk garantili sorunsuz sikintisiz bir gun de elime ulasti,1
kesinlikle tavsiye olunur tam bir f/p urunu,1
urun mor olani aldik rengi kizimin cok hosuna gitti fiyatina gore gayet guzel tavsiye ederim,1
tlf cok guzel kullandikca yorum yapacagim,1
daha once ogluma aldigim urunu simdi de dusunmeden esime aldim bu fiyatlarda bu telefon kesinlikle kacirilmaz,1
olumsuz yonleri: ne kadar guvenilir*,0
olumsuz yonleri: 128gb yerine 64 gb geldi firmaya telefonla ulasamiyorsunuz 1 siradasiniz deyip 15 saat bekletip hattan dusuruyor hediye olarak aldim 5 gun sonra kutuyu acinca farkettim 64gb oldugunu,0
olumlu yonleri: faturasiz gelen urun icin fatura istiyoruz firma donus yapmiyor  olumsuz yonleri: faturasiz gelen urun icin fatura istiyoruz firma donus yapmiyor,0
olumlu yonleri: tavsiye ederim mukemmel cihac,1
olumlu yonleri: super urun,1
olumlu yonleri: bildigimiz marka urun orjinal satici ozverili ve hizli,1
olumlu yonleri: urun cok cok iyi,1
olumlu yonleri: urunun kapak resmini ve fiyatini gorunce 2 el diye dusundum oyle mi?,0
olumlu yonleri: guzel urun kardesim icin aldim cok memnun,1
olumlu yonleri: yorum  olumsuz yonleri: yorum2,1
olumlu yonleri: cok guzel  olumsuz yonleri: olumsuz yani yok,1
olumlu yonleri: fiyatina gore 10 numara telefon,1
olumlu yonleri: ozenle hazirlanmis emeginize saglik iyi telefon,1
olumlu yonleri: hayatimda gordugum en iyi telefon sarji cok rahat 1 gun gidiyor hizli ve depolama alaninin 64 gb olmasi bana buyuk fayda sagliyor kamerasi cok guzel telefonun kendine ait ekran kaydedicisi ekran goruntusu alan uygulamasi mp4 video indirme programi (mi tarayici) ve antivirus programi var indirdigin her uygualamayi denetleyip virus kontrolunden geciriyor bu da buyuk bir avantaj aslinda  olumsuz yonleri: dezavantaji youtube'da video izlerken videolari tam ekran izleyememek ve buyutmek zorunda kalmak,1
evetbekledigimiz gibi cikti,1
urun cok guzel paketlenmisti kargo surecim de gayet hizliydi telefonu annem in aldik gayet guzel kamerasi ve pili ozellikle saticiya iletisime gecip aklima takilan sorulari da rahatlikla sordum ulasmam cok kolaydi ayni zamanda paketin icine hediye kulaklik da koymuslardi tesekkur ederim :)))),1
ilk gelen telefon kasasinda kucuk bi soyulma eziklik tarzinda sorun vardi fotografini cekip magazaya attim hemen donus yapildi iade ve degisim icin secenek sundular her sordugum soruya hemen cevap verildi degisim istedigim icin ben kargoya verdigim gibi magaza yeni telefonu kargoya verdi gercek anlamda guvenilir ve iletisimi guzel magaza hersey icin tesekkur ederim cevremde telefon alacaklarada sizi oneriyorum almayi dusunenler gonul rahatligiyla siparis verebilirsiniz,1
isallah teshir urunu degildir,0
urunun sifir oldugundan supheliyim arka cam cizik ayrica ekranin jelatini sonradan yapistirilmis gibi kutusunda global yaziyor fakat ariza sorun vs goremedim urun kullanisli ve sik,0
telefonu gecen sene annem icin almistim bu sene kendim icin aldim tam bir fiyat performans urunu 600 tl daha fazla veririm diyenlere redmi note 8 proyu tavsiye ederim,1
simdilik gayet guzel,1
urun sorunsuz geldi gayet orjinal tesekkurler,1
sorunsuz elime ulasti hizli kargo,1
urunun kalitesi zaten belli paketleme iyiydi 3 gunde teslim edildi emegi gecenlerin her birine tesekkur ederim,1
urun orijinal xiaomi imei kayitli diye aldik telefon general mobile kayitli cikti tavsiye etmiyorum bu tur telefonlarin fiyati etrafta daha uygun  ve atilan imei klonlanmis telefon kapanacak,0
urunun paketlemesi guzeldisadece elimize 5 gun icerisinde ulasti onun disinda urun cok iyii,1
verilen urunun ozellikleri ile gonderilen urunun ozellikleri ayni degildir cift hat destegi var deniyor ama cift hat taktiginda hicbir hat calismamaktadir telefonu 4g konumuna aldigimiz da sebeke cekmiyor 3g konumuna aldigimiz da internet cekmiyor teknik servisi aradigimizda ise mesai saatleri icinde iken mesai saatleri disindayiz deniyor trendyol aradigimizda telefonu ya degistirin ya para mi iade edin dedigimiz de urun acildigi icin ikinci el gozuktugu icin urunu alamiyoruz urunu acmadan urunun nasil oldugunu nereden bilecegim,0
urun guzel bir sekilde kutusuyla gonderildicok memnun kaldim,1
telefonun imeisi klonlanmis ne yapacagimi bilmiyorum,0
fp urunu harika alin aldirin guvenilir,1
dun siparis verdik 24 saat dolmadan elimize ulasti seffaf kilif ekran koruyucu ve sarj aleti hepsi icinde tavsiye ederim tesekkurler,1
ben begendim ancak nedense kullanimdan 3-4 ay sonra asiri isiniyor sogumasi icin her 1 saatte buzdolabina koyup cikariyorum,0
urun cok guzel 2gunde geldi hicbir sikintisi yok kasma vb hicbisey yok mobile market tesekkur ederim,1
hizli geldi ve dikkatli kargolanmis bir sikinti yasamadik,1
urunu alirken baya arastirdm yorumlarda okadar olumsuz yorum olmasina ragmen siparis verdim 2 gun icinde elime ulasti hizli teslimat urun aynisi geldi kurulumu sorunsuz yaptim suanlik bi sikintisi yok insaallahda olmaz ozellik olarak kamerasi on numara bircok ozelligi var hafiza ve ram guzel hizli elde cok hafif ve buyuk degil fiyat olarak uygun piyasadaki pahali cihazlara kafa tutcak bi cihaz tavsiye ederim trendyola tesekkurler onceki cihazimida burdan aldm kalite guven herzaman :),1
